id,image_url,image_url_suffix,imageUrls,product_url,color,occasion,size,width,suited_for,brand_name,brand_name_en,model_name,prices,is_tbyb,tags,color_options,totalColorAvailable,is_ditto,classification,specifications,wishlistCount,purchaseCount,avgRating,hashtagList,offerName,cmsLinkAndroid,cmsLinkIos,qty,frameColorImage,subCollection,subCollectionId,inclusiveText,relatedItems,isCygnusEnabled,isCashbackApplicable,searchProductName,prescriptionType,brand_logo,totalNoOfRatings,arModelAndroidUrl,arModelIOSUrl,arModelMsiteAndDesktopUrl,arModelOriginalUrl
150068,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-blu-lb-e14271-c1-eyeglasses_J_2003.jpg,/l/e/lenskart-blu-lb-e14271-c1-eyeglasses_J_2003.jpg,[],https://www.lenskart.com/lenskart-blu-lb-e14271-c1-eyeglasses.html,Transparent,,Extra Wide,143 mm,,Lenskart Blu,Lenskart Blu,LB E14271,"1200,1200",False,Zero Power,[],0,True,non_power_reading,[],1055,6486,4.1,"Extra Wide,Round,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,2633,https://ds-static.lenskart.com/product_color_bubble_images/150068_bubble.png,,,,[],True,False,Transparent Full Rim Round Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,14.0,https://lookr-static.lenskart.com/frameassets/150068/android/sku_150068.glb,https://lookr-static.lenskart.com/frameassets/150068/ios/sku_150068.scn,,https://lookr-static.lenskart.com/frameassets/150068/orignal/sku_150068.glb
151038,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-transparent-full-rim-round-lenskart-blu-glasses-lb-e14453-c4_g_804911_03_2022.jpg,/l/i/blue-block-phone-&-computer-glasses:-transparent-full-rim-round-lenskart-blu-glasses-lb-e14453-c4_g_804911_03_2022.jpg,[],https://www.lenskart.com/lenskart-blu-lb-e14453-c4-eyeglasses.html,Transparent,,Medium,136 mm,,Lenskart Blu,Lenskart Blu,LB E14453,"1200,1200",False,Zero Power,[],0,True,non_power_reading,[],281,6037,4.35,"Medium,Round,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,90,https://ds-static.lenskart.com/product_color_bubble_images/151038_bubble.png,,,,[],False,False,Transparent Full Rim Round Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,42.0,https://lookr-static.lenskart.com/frameassets/151038/android/sku_151038.glb,https://lookr-static.lenskart.com/frameassets/151038/ios/sku_151038.scn,,https://lookr-static.lenskart.com/frameassets/151038/orignal/sku_151038.glb
146460,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-matte-black-full-rim-rectangle-lenskart-blu-lb-e13739-c1_lenskart-blu-lb-e13739-c1-eyeglasses_eyeglasses_g_9580_223_02_2022.jpg,/l/i/blue-block-phone-&-computer-glasses:-matte-black-full-rim-rectangle-lenskart-blu-lb-e13739-c1_lenskart-blu-lb-e13739-c1-eyeglasses_eyeglasses_g_9580_223_02_2022.jpg,[],https://www.lenskart.com/lenskart-blu-lb-e13739-c1-eyeglasses.html,Black,,Wide,139 mm,,Lenskart Blu,Lenskart Blu,LB E13739,"1200,1200",False,Zero Power,[],0,True,non_power_reading,[],8275,34837,4.5,"Wide,Round,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,368,https://ds-static.lenskart.com/product_color_bubble_images/146460_bubble.png,,,,[],True,False,Matte Black Full Rim Rectangle Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,146.0,https://lookr-static.lenskart.com/frameassets/146460/android/sku_146460.glb,https://lookr-static.lenskart.com/frameassets/146460/ios/sku_146460.scn,,https://lookr-static.lenskart.com/frameassets/146460/orignal/sku_146460.glb
147809,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-blue-transparent-blue-full-rim-rectangle-lenskart-blu-lb-e13737-c3_lenskart-blu-lb-e13737-full-rim-rec-eye-c3-eyeglasses_lenskart-blu-lb-e13737-full-rim-rec-eye-c3-eyeglasses_eyeglasses_g_0725_123_02_2022.jpg,/l/i/blue-block-phone-&-computer-glasses:-blue-transparent-blue-full-rim-rectangle-lenskart-blu-lb-e13737-c3_lenskart-blu-lb-e13737-full-rim-rec-eye-c3-eyeglasses_lenskart-blu-lb-e13737-full-rim-rec-eye-c3-eyeglasses_eyeglasses_g_0725_123_02_2022.jpg,[],https://www.lenskart.com/lenskart-blu-lb-e13737-c3-computer.html,Blue,,Wide,140 mm,,Lenskart Blu,Lenskart Blu,LB E13737,"1500,1500",False,Zero Power,[],0,True,non_power_reading,[],6347,16690,4.45,"Wide,Rectangle,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,815,https://ds-static.lenskart.com/product_color_bubble_images/147809_bubble.png,,,,[],True,False,Blue Transparent Full Rim Rectangle Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,122.0,https://lookr-static.lenskart.com/frameassets/147809/android/sku_147809.glb,https://lookr-static.lenskart.com/frameassets/147809/ios/sku_147809.scn,,https://lookr-static.lenskart.com/frameassets/147809/orignal/sku_147809.glb
151036,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-black-full-rim-round-lenskart-blu-glasses-lb-e14453-c2_g_804211_03_2022.jpg,/l/i/blue-block-phone-&-computer-glasses:-black-full-rim-round-lenskart-blu-glasses-lb-e14453-c2_g_804211_03_2022.jpg,[],https://www.lenskart.com/lenskart-blu-lb-e14453-c2-eyeglasses.html,Black,,Medium,136 mm,,Lenskart Blu,Lenskart Blu,LB E14453,"1200,1200",False,Zero Power,[],0,True,non_power_reading,[],114,7714,4.35,"Medium,Round,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,410,https://ds-static.lenskart.com/product_color_bubble_images/151036_bubble.png,,,,[],True,False,Black Full Rim Round Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,42.0,https://lookr-static.lenskart.com/frameassets/151036/android/sku_151036.glb,https://lookr-static.lenskart.com/frameassets/151036/ios/sku_151036.scn,,https://lookr-static.lenskart.com/frameassets/151036/orignal/sku_151036.glb
151035,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-green-full-rim-round-lenskart-blu-glasses-lb-e14453-c1_g_805611_03_2022.jpg,/l/i/blue-block-phone-&-computer-glasses:-green-full-rim-round-lenskart-blu-glasses-lb-e14453-c1_g_805611_03_2022.jpg,[],https://www.lenskart.com/lenskart-blu-lb-e14453-c1-eyeglasses.html,Green,,Medium,136 mm,,Lenskart Blu,Lenskart Blu,LB E14453,"1200,1200",False,Zero Power,[],0,True,non_power_reading,[],131,3688,4.35,"Medium,Round,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,57,https://ds-static.lenskart.com/product_color_bubble_images/151035_bubble.png,,,,[],True,False,Green Full Rim Round Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,42.0,https://lookr-static.lenskart.com/frameassets/151035/android/sku_151035.glb,https://lookr-static.lenskart.com/frameassets/151035/ios/sku_151035.scn,,https://lookr-static.lenskart.com/frameassets/151035/orignal/sku_151035.glb
150070,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-blu-lb-e14271-c3-eyeglasses_G_1273.jpg,/l/e/lenskart-blu-lb-e14271-c3-eyeglasses_G_1273.jpg,[],https://www.lenskart.com/lenskart-blu-lb-e14271-c3-eyeglasses.html,Green,,Extra Wide,143 mm,,Lenskart Blu,Lenskart Blu,LB E14271,"1200,1200",False,Zero Power,[],0,True,non_power_reading,[],134,1644,4.1,"Extra Wide,Round,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,279,https://ds-static.lenskart.com/product_color_bubble_images/150070_bubble.png,,,,[],True,False,Green Full Rim Round Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,14.0,https://lookr-static.lenskart.com/frameassets/150070/android/sku_150070.glb,https://lookr-static.lenskart.com/frameassets/150070/ios/sku_150070.scn,,https://lookr-static.lenskart.com/frameassets/150070/orignal/sku_150070.glb
200279,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-blu-lb-e14791-c1-eyeglasses_g_9837_12_09_2022.jpg,/l/i/lenskart-blu-lb-e14791-c1-eyeglasses_g_9837_12_09_2022.jpg,[],https://www.lenskart.com/lenskart-blu-lb-e14791-c1-eyeglasses.html,Black,,Medium,135 mm,,Lenskart Blu,Lenskart Blu,LB E14791,"1500,1500",False,Zero Power,[],0,True,non_power_reading,[],0,5881,4.65,"Medium,Cat Eye,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,710,https://ds-static.lenskart.com/product_color_bubble_images/200279_bubble.png,,,,[],True,False,Matte Black Full Rim Cat Eye Eyeglasses,[],,6.0,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/200279/android/sku_200279.glb,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/200279/ios/sku_200279.scn,,https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/200279/orignal/sku_200279.glb
150158,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-green-full-rim-lenskart-blu-lb-e14284-c2_lenskart-blu-lb-e14284-c2-eyeglasses_lenskart-blu-lb-e14284-c2-eyeglasses_g_701025_02_2022.jpg,/l/i/blue-block-phone-&-computer-glasses:-green-full-rim-lenskart-blu-lb-e14284-c2_lenskart-blu-lb-e14284-c2-eyeglasses_lenskart-blu-lb-e14284-c2-eyeglasses_g_701025_02_2022.jpg,[],https://www.lenskart.com/lenskart-blu-lb-e14284-c2-eyeglasses.html,Green,,Wide,138 mm,,Lenskart Blu,Lenskart Blu,LB E14284,"1200,1200",False,Zero Power,[],0,True,non_power_reading,[],319,3036,4.4,"Wide,Round,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,274,https://ds-static.lenskart.com/product_color_bubble_images/150158_bubble.png,,,,[],True,False,Green Full Rim Round Eyeglasses,[],,7.0,https://lookr-static.lenskart.com/frameassets/150158/android/sku_150158.glb,https://lookr-static.lenskart.com/frameassets/150158/ios/sku_150158.scn,,https://lookr-static.lenskart.com/frameassets/150158/orignal/sku_150158.glb
146527,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-phone-&-computer-glasses:-matte-grey-transparent-full-rim-rectangle-lenskart-blu-lb-e13738-c2_lenskart-blu-lb-e13738-c2-eyeglasses_lenskart-blu-lb-e13738-c2-eyeglasses_yeglasses_eyeglasses_g_0426_223_02_2022.jpg,/l/i/blue-block-phone-&-computer-glasses:-matte-grey-transparent-full-rim-rectangle-lenskart-blu-lb-e13738-c2_lenskart-blu-lb-e13738-c2-eyeglasses_lenskart-blu-lb-e13738-c2-eyeglasses_yeglasses_eyeglasses_g_0426_223_02_2022.jpg,[],https://www.lenskart.com/lenskart-blu-lb-e13738-c2-eyeglasses.html,Grey,,Medium,137 mm,,Lenskart Blu,Lenskart Blu,LB E13738,"1200,1200",False,Zero Power,[],0,True,non_power_reading,[],2207,12337,4.45,"Medium,Rectangle,Lenskart Blu,Full Rim",LKBLUCE,https://www.lenskart.com/cms-frame-size,https://www.lenskart.com/cms-frame-size-ios,146,https://ds-static.lenskart.com/product_color_bubble_images/146527_bubble.png,,,,[],False,False,Matte Grey Transparent Full Rim Rectangle Eyeglasses,[],https://static.lenskart.com/media/wysiwyg/blanco/images/Blu-H.jpg,133.0,https://lookr-static.lenskart.com/frameassets/146527/android/sku_146527.glb,https://lookr-static.lenskart.com/frameassets/146527/ios/sku_146527.scn,,https://lookr-static.lenskart.com/frameassets/146527/orignal/sku_146527.glb
