id,product_url,color,size,width,brand_name,model_name,is_tbyb,tags,is_ditto,classification,specifications,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,hashtagList,arModelAndroidUrl,qty,subCollection,subCollectionId,isCygnusEnabled,searchProductName,Market_Price,Lenskart_Price
201371,https://www.lenskart.com/john-jacobs-jj-e11291-c5-eyeglasses.html,Black,Wide,140 mm,John Jacobs,JJ E11291,False,John Jacobs,True,eyeframe,[],0,2284,4.6,199.0,"Wide,Square,John Jacobs,Full Rim",https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/201371/android/sku_201371.glb,4610,Supreme Steel,26271.0,True,Black Full Rim Square Eyeglasses,5000,5000
206520,https://www.lenskart.com/john-jacobs-jj-e13913-c5-eyeglasses.html,Copper,Wide,139 mm,John Jacobs,JJ E13913,False,John Jacobs,True,eyeframe,[],0,1194,5.0,1.0,"Wide,Rectangle,John Jacobs,Full Rim",,456,ULTIMATE FLEX,26321.0,True,Copper Full Rim Rectangle Eyeglasses,5000,5000
208311,https://www.lenskart.com/john-jacobs-jj-s13314-c4-sunglasses.html,Grey,Wide,138 mm,John Jacobs,JJ S13314,False,John Jacobs,True,sunglasses,[],0,1018,3.8,5.0,"Wide,Rectangle,John Jacobs,Full Rim",https://3d-asset-lookr-new.s3.ap-southeast-1.amazonaws.com/frameassets/208311/android/sku_208311.glb,55,JJ Tints,26651.0,True,Grey Transparent Rectangle Full Rim Sunglasses,5000,5000
212295,https://www.lenskart.com/vincent-chase-vc-s16336-c2-sunglasses.html,Brown,Wide,141 mm,Vincent Chase Polarized,VC S16336,False,Holiday Edit 2.0,True,sunglasses,[],0,1014,0.0,,"Wide,Cat Eye,Vincent Chase Polarized,Full Rim",https://lookr-static.lenskart.com/frameassets/212295/android/sku_212295.glb,647,HOLIDAY EDIT 2.0,27241.0,True,Brown Cat Eye Full Rim Sunglasses,2000,2000
212612,https://www.lenskart.com/vincent-chase-vc-s16413-c2-sunglasses.html,Black,Extra Wide,147 mm,Vincent Chase Polarized,VC S16413,False,CWC PRINTED,True,sunglasses,[],0,624,0.0,,"Extra Wide,Wayfarer,Vincent Chase Polarized,Full Rim",https://lookr-static.lenskart.com/frameassets/212612/android/sku_212612.glb,473,CWC PRINTED,27201.0,True,,1500,1500
148311,https://www.lenskart.com/john-jacobs-jj-e11727xs-c2-eyeglasses.html,Grey,Extra Narrow,126 mm,John Jacobs,JJ E11727XS,False,John Jacobs,True,eyeframe,[],132,5581,4.8,5.0,"Extra Narrow,Wayfarer,John Jacobs,Full Rim",https://lookr-static.lenskart.com/frameassets/148311/android/sku_148311.glb,368,Rich Acetate,26361.0,True,Grey Transparent Full Rim Wayfarer Eyeglasses,3500,3500
149146,https://www.lenskart.com/john-jacobs-jj-e14126-c1-c1-eyeglasses.html,Gold,Medium,136 mm,John Jacobs,JJ E14126,False,John Jacobs,True,eyeframe,[],74,5357,5.0,5.0,"Medium,Aviator,John Jacobs,Half Rim",https://lookr-static.lenskart.com/frameassets/149146/android/sku_149146.glb,648,Supreme Steel,26271.0,True,Gold Half Rim Aviator Eyeglasses,3500,3500
205288,https://www.lenskart.com/lenskart-lk-e15156af-c3-eyeglasses.html,Silver Sky Blue,Narrow,132 mm,Vincent Chase Online,LK E15156AF,False,Festive Series,True,eyeframe,[],0,215,0.0,,"Narrow,Cat Eye,Vincent Chase Online,Full Rim",,1,Festive Series,26688.0,True,,1700,1700
211529,https://www.lenskart.com/vincent-chase-vc-e16200-c2-eyeglasses.html,Gold,Medium,136 mm,Vincent Chase,VC E16200,False,Sleek Steel,False,eyeframe,[],0,727,0.0,,"Medium,Rectangle,Vincent Chase,Half Rim",,1312,Refreshers1_Jan24,27625.0,False,,2000,2000
212813,https://www.lenskart.com/lenskart-boost-lkb-s16443-c1-sunglasses.html,Tortoise,Wide,143 mm,Lenskart Boost,LKB S16443,False,CRICKET BOOST,True,sunglasses,[],0,1463,0.0,,"Wide,Wayfarer,Lenskart Boost,Half Rim",https://lookr-static.lenskart.com/frameassets/212813/android/sku_212813.glb,285,CRICKET BOOST,27221.0,True,Tortoise Blue Mirror Half Rim Sports Lenskart Boost CRICKET BOOST Sunglasses,2000,2000
134128,https://www.lenskart.com/tortoise-full-rim-round-small-size-48-vincent-chase-hd-acetate-vc-e11262-c2-colored-lens-tinted-eyeglasses.html,Tortoise,Narrow,132 mm,Vincent Chase Online,VC E11262,False,HD Acetate,True,eyeframe,[],129,293,4.55,669.0,"Narrow,Round,Vincent Chase Online,Full Rim",,3085,HD Acetate,25042.0,True,Tortoise Full Rim Round Eyeglasses,1700,1700
147248,https://www.lenskart.com/john-jacobs-jj-s13868-full-rim-c3-sunglasses.html,Gold,Medium,135 mm,John Jacobs,JJ S13868,False,John Jacobs,True,sunglasses,[],532,3018,4.5,2.0,"Medium,Cat Eye,John Jacobs,Full Rim",https://lookr-static.lenskart.com/frameassets/147248/android/sku_147248.glb,259,JJ Tints,26651.0,True,Gold Cat Eye Full Rim Sunglasses,5000,5000
