Product ID,Product Brand Name,Product Model Name,Product Color,Product Market Price,Product Lenskart Price,Product Size,Product Width,Product Availability,Product Average Rating,Product Purchase Count,Product Wishlist Count,Product Total Number of Ratings,Product Tags,Product Color Options,Product Classification,Product Search Name,Product URL
152518,Hooper online,HP E10025M,Transparent,1000,1000,5-8 yrs,123 mm,614,4.0,991,0,2,Poppin Hooper,[],eyeframe,Transparent Full Rim Cat Eye Eyeglasses,https://www.lenskart.com/hooper-hp-e10025m-c8-eyeglasses.html
152529,Hooper online,HP E10028M,Blue,1000,1000,5-8 yrs,123 mm,157,4.0,1193,0,1,Poppin Hooper,[],eyeframe,Blue Full Rim Square Eyeglasses,https://www.lenskart.com/hooper-hp-e10028m-c9-eyeglasses.html
200122,Aquacolor,Aquacolor Tricky Turquoise Zero Power Monthly,,900,499,,,49979,5.0,1743,19,3,,[],contact_lens,Aquacolor Tricky Turquoise N CL304N Zero Power Monthly 2LP,https://www.lenskart.com/aquacolor-tricky-turquoise-n-1-month-color-lenses2-lenses-plano.html
201448,John Jacobs,JJ E13592,Gold,5000,5000,Wide,139 mm,1040,4.35,313,0,8,John Jacobs,[],eyeframe,Gold Full Rim Square Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e13592-c5-eyeglasses.html
206640,Vincent Chase Online,VC E15380,Brown,1700,1700,Medium,135 mm,169,0.0,3528,0,NA,Classic Acetate,[],eyeframe,Brown Transparent Full Rim Round Eyeglasses,https://www.lenskart.com/vincent-chase-vc-e15380-c1-eyeglasses.html
207026,John Jacobs,JJ S15451,Gold,5000,5000,Extra Wide,144 mm,31,0.0,236,0,NA,John Jacobs,[],sunglasses,Gold Square Rimless Sunglasses,https://www.lenskart.com/john-jacobs-jj-s15451-c2-sunglasses.html
208901,Vincent Chase Polarized,VC S10802,Black,1500,1500,Wide,144 mm,50,4.45,310,0,106,,[],sunglasses,Black Rectangle Full Rim Sunglasses,https://www.lenskart.com/vincent-chase-vc-s10802-c7-sunglasses.html
137778,John Jacobs,JJ E12997,Brown,3500,3500,Narrow,130 mm,160,4.4,5986,3271,20,John Jacobs,[],eyeframe,Brown Tortoise Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e12997-c2-eyeglasses.html
144601,John Jacobs,JJ E12717,Grey,3500,3500,Wide,140 mm,37,4.55,3052,726,14,John Jacobs,[],eyeframe,Grey Transparent Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e12717-c5-eyeglasses.html
148382,John Jacobs Online,JJ E11686XL,Gunmetal,3500,3500,Extra Wide,142 mm,1411,4.7,2357,345,7,John Jacobs,[],eyeframe,Gunmetal Full Rim Aviator Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e11686xl-c1-eyeglasses.html
150876,John Jacobs,JJ E14415,Grey,3500,3500,Wide,140 mm,4,4.6,3070,0,11,John Jacobs,[],eyeframe,Black Grey Full Rim Rectangle Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e14415-c3-eyeglasses.html
152510,Hooper online,HP E10031L,Black,1000,1000,8-12 yrs,128 mm,104,5.0,1768,0,2,Poppin Hooper,[],eyeframe,Black Full Rim Square Eyeglasses,https://www.lenskart.com/hooper-hp-e10031l-c6-eyeglasses.html
208239,Vincent Chase,VC E15590,Black,1700,1700,Narrow,132 mm,3,3.0,3218,0,3,Blend Edit,[],eyeframe,Black Full Rim Rectangle Eyeglasses,https://www.lenskart.com/vincent-chase-vc-e15590-c1-eyeglasses.html
213302,John Jacobs,JJ E16563,Transparent,5000,5000,Extra Wide,147 mm,252,0.0,57,0,NA,John Jacobs,[],eyeframe,John Jacobs Transparent Full Rim Square Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e16563-c1-eyeglass.html
215260,John Jacobs,JJ E16623,Green,3500,3500,Wide,139 mm,882,0.0,29,0,NA,John Jacobs,[],eyeframe,John Jacobs Green Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e16623-c2-eyeglasses.html
136470,John Jacobs,JJ E12814,Grey,5000,5000,Narrow,130 mm,365,4.6,5602,3287,17,John Jacobs,[],eyeframe,Grey Full Rim Square Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e12814-c1-eyeglasses.html
137701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.lenskart.com/aqua-color-dusky-brown-monthly-disposable-color-lenses-2-lenses-box-plano.html
138325,John Jacobs Online,JJ E13097,White,3500,3500,Medium,135 mm,1063,4.3,2775,987,16,John Jacobs,[],eyeframe,White Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e13097-c3-eyeglasses.html
139729,John Jacobs,JJ E11675,Black,4000,4000,Medium,135 mm,1812,4.7,246,0,211,John Jacobs,[],eyeframe,Black Full Rim Hexagon,https://www.lenskart.com/black-golden-full-rim-hexagon-small-size-50-john-jacobs-steel-jj-e11675-c1-eyeglasses.html
146204,John Jacobs,JJ E13719,Rose Gold,5000,5000,Medium,134 mm,533,4.5,4253,1676,6,John Jacobs,[],eyeframe,Rose Gold Full Rim Square Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e13719-full-rim-c3-eyeglasses.html
152167,Hooper online,HP E10026M,Blue,1000,1000,5-8 yrs,120 mm,629,5.0,2973,140,4,Poppin Hooper,[],eyeframe,Blue Gradient Full Rim Cat Eye Eyeglasses,https://www.lenskart.com/hooper-hp-e10026m-c7-eyeglasses.html
152983,Hooper online,HP E10062S,Orange,1000,1000,2-5 yrs,109 mm,112,0.0,1315,0,NA,Flexi Hooper,[],eyeframe,Black Full Rim Oval Eyeglasses,https://www.lenskart.com/hooper-hp-e10062s-c2-eyeglasses.html
153066,Vincent Chase Online,VC E14269,Tortoise,1700,1700,Wide,142 mm,267,4.4,1343,0,10,Classic Acetate,[],eyeframe,Brown Tortoise Full Rim Round Eyeglasses,https://www.lenskart.com/vincent-chase-vc-e14269-c3-eyeglasses.html
200312,Hooper,HP S10119M,Blue,1000,1000,5-8 yrs,120 mm,178,5.0,1708,0,1,Hooper Sunnies,[],sunglasses,Transparent Wayfarer Full Rim Sunglasses,https://www.lenskart.com/hooper-hp-s10119m-c2-sunglasses.html
204176,Lenskart Air Online,LA E15016,Blue,1700,1700,Extra Narrow,125 mm,2,5.0,5138,0,4,Air Play,[],eyeframe,Blue Full Rim Round Eyeglasses,https://www.lenskart.com/lenskart-air-la-e15016-c2-eyeglasses.html
205884,John Jacobs,JJ E15266,Gold,3500,3500,Medium,137 mm,294,4.0,561,0,1,JJ GILDED JEWELS,[],eyeframe,Gold Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e15266-c2-eyeglasses.html
211393,Lenskart Air,LA E16157,Blue,1700,1700,Medium,134 mm,1614,0.0,454,0,NA,Blue Billion,[],eyeframe,NA,https://www.lenskart.com/lenskart-air-la-e16157-c1-eyeglasses.html
212071,John Jacobs,JJ E16286,Gold,3500,3500,Narrow,133 mm,127,0.0,176,0,NA,John Jacobs,[],eyeframe,Gold Rectangle Rimless Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e16286-c1-eyeglasses.html
144850,John Jacobs,JJ E13577,Silver,3500,3500,Narrow,132 mm,78,5.0,1901,636,1,John Jacobs,[],eyeframe,Silver Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e13577-full-rim-c1-eyeglasses.html
145148,John Jacobs,JJ E13591,Silver,5000,5000,Medium,137 mm,473,4.55,1816,436,12,John Jacobs,[],eyeframe,Silver Blue Full Rim Square Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e13591-c3-eyeglasses.html
146882,John Jacobs,JJ S13804,Gold,5000,5000,Medium,136 mm,37,4.55,2043,921,7,John Jacobs,[],sunglasses,Gold Aviator Full Rim Sunglasses,https://www.lenskart.com/john-jacobs-jj-s13804-c1-sunglasses.html
151342,John Jacobs,JJ E14504,Brown,3500,3500,Extra Wide,144 mm,162,0.0,805,0,NA,John Jacobs,[],eyeframe,Brown Tortoise Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e14504-c2-eyeglasses.html
152067,John Jacobs,JJ E14643,Copper,3500,3500,Medium,136 mm,21,0.0,721,0,NA,John Jacobs,[],eyeframe,Copper Full Rim Wayfarer Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e14643-c2-eyeglasses.html
